ID,Title,TimeandDate,Symbol,Data
0,"Noteworthy Monday Option Activity: SEAS, CSOD, MYOK",12/10/2018,SEAS,"Where a total of 21,882 contracts have traded so far, representing approximately 2.2 million underlying shares. That amounts to about 104.9% of SEAS's average daily trading volume over the past month of 2.1 million shares. Particularly high volume was seen for the $22 strike put option expiring December 21, 2018  , with 18,808 contracts trading so far today, representing approximately 1.9 million underlying shares of SEAS. Below is a chart showing SEAS's trailing twelve month trading history, with the $22 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: SEAS, CSOD, MYOK",12/10/2018,CSOD,"Saw options trading volume of 5,050 contracts, representing approximately 505,000 underlying shares or approximately 96.7% of CSOD's average daily trading volume over the past month, of 522,005 shares. Especially high volume was seen for the $62.50 strike call option expiring February 15, 2019  , with 5,000 contracts trading so far today, representing approximately 500,000 underlying shares of CSOD. Below is a chart showing CSOD's trailing twelve month trading history, with the $62.50 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: SEAS, CSOD, MYOK",12/10/2018,MYOK,"Saw options trading volume of 1,861 contracts, representing approximately 186,100 underlying shares or approximately 88.7% of MYOK's average daily trading volume over the past month, of 209,915 shares. Especially high volume was seen for the $55 strike put option expiring December 21, 2018  , with 926 contracts trading so far today, representing approximately 92,600 underlying shares of MYOK. Below is a chart showing MYOK's trailing twelve month trading history, with the $55 strike highlighted in orange"
0,"Notable Monday Option Activity: CMA, XPER, PYPL",12/10/2018,CMA,"Where a total volume of 9,500 contracts has been traded thus far today, a contract volume which is representative of approximately 950,000 underlying shares (given that every 1 contract represents 100 underlying shares. That number works out to 43.5% of CMA's average daily trading volume over the past month, of 2.2 million shares. Particularly high volume was seen for the $77.50 strike call option expiring December 21, 2018  , with 5,219 contracts trading so far today, representing approximately 521,900 underlying shares of CMA. Below is a chart showing CMA's trailing twelve month trading history, with the $77.50 strike highlighted in orange"
0,"Notable Monday Option Activity: CMA, XPER, PYPL",12/10/2018,XPER,"Saw options trading volume of 1,374 contracts, representing approximately 137,400 underlying shares or approximately 43% of XPER's average daily trading volume over the past month, of 319,725 shares. Particularly high volume was seen for the $17 strike put option expiring December 21, 2018  , with 220 contracts trading so far today, representing approximately 22,000 underlying shares of XPER. Below is a chart showing XPER's trailing twelve month trading history, with the $17 strike highlighted in orange"
0,"Notable Monday Option Activity: CMA, XPER, PYPL",12/10/2018,PYPL,"Saw options trading volume of 34,972 contracts, representing approximately 3.5 million underlying shares or approximately 41.6% of PYPL's average daily trading volume over the past month, of 8.4 million shares. Particularly high volume was seen for the $90 strike call option expiring February 15, 2019  , with 3,509 contracts trading so far today, representing approximately 350,900 underlying shares of PYPL. Below is a chart showing PYPL's trailing twelve month trading history, with the $90 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: MKL, LULU, DSW",12/10/2018,MKL,"Where a total volume of 365 contracts has been traded thus far today, a contract volume which is representative of approximately 36,500 underlying shares (given that every 1 contract represents 100 underlying shares. That number works out to 86.1% of MKL's average daily trading volume over the past month, of 42,405 shares. Particularly high volume was seen for the $1120 strike put option expiring December 21, 2018  , with 90 contracts trading so far today, representing approximately 9,000 underlying shares of MKL. Below is a chart showing MKL's trailing twelve month trading history, with the $1120 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: MKL, LULU, DSW",12/10/2018,LULU,"Saw options trading volume of 22,658 contracts, representing approximately 2.3 million underlying shares or approximately 84.2% of LULU's average daily trading volume over the past month, of 2.7 million shares. Particularly high volume was seen for the $110 strike put option expiring December 21, 2018  , with 1,590 contracts trading so far today, representing approximately 159,000 underlying shares of LULU. Below is a chart showing LULU's trailing twelve month trading history, with the $110 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: MKL, LULU, DSW",12/10/2018,DSW,"Saw options trading volume of 13,422 contracts, representing approximately 1.3 million underlying shares or approximately 80.9% of DSW's average daily trading volume over the past month, of 1.7 million shares. Particularly high volume was seen for the $25 strike put option expiring December 21, 2018  , with 4,123 contracts trading so far today, representing approximately 412,300 underlying shares of DSW. Below is a chart showing DSW's trailing twelve month trading history, with the $25 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: MET, IBM, AMCX",12/10/2018,MET,"Where a total volume of 34,766 contracts has been traded thus far today, a contract volume which is representative of approximately 3.5 million underlying shares (given that every 1 contract represents 100 underlying shares. That number works out to 47.2% of MET's average daily trading volume over the past month, of 7.4 million shares. Particularly high volume was seen for the $42.50 strike call option expiring January 18, 2019  , with 7,118 contracts trading so far today, representing approximately 711,800 underlying shares of MET. Below is a chart showing MET's trailing twelve month trading history, with the $42.50 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: MET, IBM, AMCX",12/10/2018,IBM,"Options are showing a volume of 25,721 contracts thus far today. That number of contracts represents approximately 2.6 million underlying shares, working out to a sizeable 45.9% of IBM's average daily trading volume over the past month, of 5.6 million shares. Particularly high volume was seen for the $135 strike put option expiring April 18, 2019  , with 3,002 contracts trading so far today, representing approximately 300,200 underlying shares of IBM. Below is a chart showing IBM's trailing twelve month trading history, with the $135 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: MET, IBM, AMCX",12/10/2018,AMCX,"Saw options trading volume of 2,464 contracts, representing approximately 246,400 underlying shares or approximately 45.1% of AMCX's average daily trading volume over the past month, of 546,610 shares. Particularly high volume was seen for the $65 strike call option expiring December 21, 2018  , with 1,608 contracts trading so far today, representing approximately 160,800 underlying shares of AMCX. Below is a chart showing AMCX's trailing twelve month trading history, with the $65 strike highlighted in orange"
